Level,Average Acceleration (m/s^2),Thruster Force (N)
1,1.7668586170316e-06,377064.10609985995275
2,10.018450077534,701031.05259581
3,10.009750493746,1031998.763394
4,10.011318058765,1372042.8218446
5,10.006258087641,1704952.1390474
6,10.016348160035,2038024.6260057
7,10.015818456862,2368997.7724769
8,10.016706189128,2697318.3046794
9,10.019561866185,3024870.0082121
10,10.01874274178,3352156.8580554
11,10.024107677261,3667266.4016773
12,10.026124933069,3986614.908429
13,10.023288343446,4301151.3429065
14,10.011436728183,4608704.0376044
15,10.012214849245,4919612.1165722
