Level,Average Acceleration (m/s^2),Thruster Force (N)
1,2.3600258531469e-12,1.9859782756041e-06
2,10.014003639832,9560044.1783408
3,10.004666005984,14264853.910411
4,10.019224499321,18979169.709566
5,10.005123865773,23554839.021675
6,10.021497247666,28158330.239414
7,10.010394093882,32739667.859096
8,10.012281696958,37203263.305501
9,10.012969532129,41704483.777558
10,10.014987808106,46187276.834821
11,10.033743941605,50616834.88595
12,10.016689610913,54807613.992634
13,10.044414519442,59393726.059105
14,10.023944136223,63599182.909543
15,10.020066157507,67824588.849112
